DRUG	CAS-DAC-4	CAS-DAC-19	CAS-DAC-22	CAS-DAC-24	CAS-DAC-1	CAS-DAC-2	CAS-DAC-6	CAS-DAC-13	CAS-DAC-7	CAS-DAC-11	CAS-DAC-12	CAS-DAC-16	CAS-DAC-18	CAS-DAC-3	CAS-DAC-9	CAS-DAC-23	CAS-DAC-25	CAS-DAC-27	CAS-DAC-28	CAS-DAC-31	CAS-DAC-32	CAS-DAC-36	CAS-DAC-21	CAS-DAC-5	CAS-DAC-14	CAS-DAC-42	CAS-DAC-29	CAS-DAC-37	CAS-DAC-39	CAS-DAC-26	CAS-DAC-8	CAS-IPMN-1	CAS-DAC-15	CAS-DAC-20	CAS-DAC-30	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-38
S1095	0.730901882	0.802754449	1	0.691997735	0.688095909	0.908218757	0.764175964	0.946631628	0.796083965	0.858178692	0.778875695	0.633556978	0.785509197	0.765609486	0.768906419	0.944147924	0.810557593	0.647299482	0.740237777	0.853403027	0.71247456	0.926858178	0.843612288	0.887636626	0.672350558	0.956062152	0.735755233	0.897547812	0.899038264	0.859308742	0.823897549	0.886827456	0.804280068	0.733268976	0.886653058	0.937505372	0.882974871	0.746221897	0.684652608
S8146	0.698712654	0.674069229	0.738995312	0.626431922	0.834800647	0.979861881	0.611532835	1	0.611014972	0.878066058	0.86986502	0.606716538	0.724344976	0.776558575	0.756215108	0.982370392	0.907274988	0.584335134	0.9726733	0.794166602	0.645156106	0.752246781	0.753869979	0.914188918	0.679142868	0.990618924	0.705815269	0.732769052	0.751696969	0.961306319	0.838356385	0.843183934	0.602754598	0.638300214	0.924352224	0.838490701	0.787707166	0.964353347	0.719855108
S7843	0.741056755	0.501503754	0.997865581	0.851011586	0.297461746	1	0.523631427	0.8386506	0.667452428	0.836529487	0.656837003	0.719462143	0.867067703	0.77346158	0.697603645	0.923897017	0.714036981	0.71715494	0.77959963	0.830433831	0.808690711	0.910113241	0.786967746	0.810670203	0.73830121	0.894118949	0.768563826	0.729614413	0.850047807	0.874772844	0.842713773	0.869611305	0.558206341	0.67420419	0.991975482	0.904211444	0.82217246	0.871378067	0.842281922
S7276	0.659855552	0.794775196	0.758832101	0.783696206	0.651640922	1	0.841622173	0.979321674	0.703022001	0.828861606	0.912593241	0.76270518	0.790998278	0.818429064	0.651998318	0.928712892	0.783877282	0.714432281	0.822429047	0.743057486	0.565072314	0.822291784	0.842229744	0.833955031	0.848470929	0.955119195	0.851390176	0.966836185	0.979452239	0.835264447	0.863475451	0.917814253	0.91058195	0.808227823	0.95006417	0.910597204	0.944391783	0.865735843	0.789918258
S7207	0.876963955	0.666221427	0.925391278	0.79305089	0.612800759	0.949224945	0.697104823	0.943851556	0.677307119	0.958453773	0.653361864	0.668720878	0.834143403	0.694602388	0.844477247	0.920132048	0.69399464	0.723241744	0.788101712	0.787992956	0.846457759	0.929212478	0.79525451	0.80474283	1	0.905270438	0.922639304	0.70800247	0.905922398	0.822855451	0.930259178	0.945156562	0.622504604	0.772529448	0.972225928	0.910547406	0.864611047	0.86732426	0.769097055
S2718	0.624248999	0.52746078	0.823354895	0.715085688	0.210236736	0.816881298	0.663405444	0.820308433	0.668145594	0.84721943	0.616442932	0.616213593	0.744814987	0.620915217	0.73126046	0.759584157	0.585806003	0.678079582	0.752817889	0.734102569	0.67961615	0.885904414	0.737046279	0.786797442	0.737031843	0.738579615	0.825396868	0.803306263	0.964313349	0.786209482	0.822129002	0.781710658	0.550475879	0.651769167	1	0.621049516	0.858000468	0.832532935	0.586051448
S1047	0.72417572	0.757949414	1	0.709659583	0.690149536	0.930223514	0.717673455	0.961789379	0.807447068	0.899887526	0.766310551	0.642940283	0.699290334	0.719215765	0.671586496	0.925271676	0.804636463	0.670980206	0.669742476	0.831351863	0.736303882	0.956004937	0.865214954	0.796690882	0.684845343	0.8844691	0.702061151	0.780870002	0.843703155	0.8418071	0.854981241	0.816114029	0.736869219	0.690451559	0.815332027	0.85179529	0.785730303	0.701913736	0.663841307
S8043	0.727138677	0.774647148	1	0.736444484	0.723314245	0.964033393	0.723071664	0.964451235	0.844429588	0.896602966	0.798817645	0.702010687	0.737582766	0.749613728	0.677206528	0.981536434	0.830694434	0.718667685	0.708665091	0.909896051	0.751823531	0.963619547	0.90267679	0.869313793	0.716677853	0.913097474	0.733983896	0.855236029	0.911046423	0.922607853	0.834371684	0.837066316	0.741057329	0.694601932	0.886313659	0.891639036	0.817018155	0.723011707	0.659433542
S7596	0.766976244	0.766276515	0.983673669	0.774786016	0.779678	0.97071484	0.738878612	1	0.837358036	0.932776381	0.829870684	0.654997092	0.682229602	0.787357327	0.856765665	0.960664279	0.864566586	0.739378859	0.684530414	0.91022931	0.776141658	0.953656351	0.945497748	0.896888377	0.704185638	0.882836292	0.784548172	0.813048577	0.962830633	0.893257424	0.892884151	0.91153605	0.735139054	0.903750861	0.862823266	0.828635791	0.824917491	0.780063602	0.664792532
S1529	0.796824966	0.388411837	0.95903185	0.926466185	0.340132022	1	0.454403772	0.730547877	0.638873446	0.87261969	0.609116213	0.62243218	0.685239704	0.752105196	0.894087612	0.845531065	0.599393318	0.711708229	0.686060521	0.797614787	0.712233448	0.980275128	0.769903788	0.858270684	0.736406746	0.610439567	0.934164569	0.614291057	0.794979402	0.876667809	0.889518041	0.949505936	0.48615174	0.824619692	0.87357981	0.624789912	0.708663622	0.830984874	0.795879483
S2736	0.61018971	0.572420062	0.875070622	0.659557014	0.45177559	0.961736468	0.74691317	0.872629613	0.65752275	0.876499395	0.746636024	0.445879177	1	0.646472046	0.843638771	0.872480025	0.851358626	0.625112727	0.683282664	0.758541397	0.757030127	0.921383288	0.826358922	0.925817893	0.641503924	0.853635278	0.915584558	0.782876021	0.685510397	0.862337973	0.897564294	0.667434394	0.525597128	0.629811386	0.891288205	0.755269735	0.777850596	0.919189364	0.818192884
S8400	0.457712926	0.354329017	0.753424524	0.442316338	0.345642803	0.738717449	0.420619404	0.808134276	0.557450132	0.693193846	0.649315471	0.330264234	0.658118767	0.589153645	0.658300392	0.502789435	0.603608817	0.427477348	0.438861351	0.618486322	0.603139127	0.70633796	0.692926127	1	0.500710659	0.633471925	0.593359636	0.538828116	0.502754096	0.525161514	0.62017001	0.494904427	0.480667357	0.320241807	0.616376556	0.48720321	0.432174333	0.572933986	0.434200563
S1782	0.783777886	0.719400377	0.948553943	0.552179112	0.42723645	0.938841425	0.691569926	1	0.751783833	0.858914293	0.86360724	0.611311633	0.630132876	0.718656361	0.793591991	0.924751188	0.794596284	0.598137256	0.512822015	0.543781206	0.540446289	0.887035372	0.749880481	0.888151246	0.729922411	0.741359919	0.756463412	0.805199915	0.584002375	0.638011103	0.842284311	0.733700574	0.775690936	0.51830861	0.849497524	0.900520321	0.593175939	0.749981517	0.544287999
S7555	0.766849637	0.572365901	0.955793447	0.788463906	0.534448669	0.946125382	0.627182414	1	0.730918732	0.729674862	0.782123342	0.715303682	0.686553603	0.680128261	0.694739213	0.952022688	0.899967715	0.728721499	0.779477901	0.766993838	0.785324594	0.937667335	0.81282615	0.700991755	0.735640248	0.865612814	0.620187002	0.790183651	0.90092995	0.862088769	0.836596894	0.821040083	0.606618324	0.667116336	0.868330638	0.831882216	0.843970873	0.771961342	0.589154641
S1648	0.856339323	0.747504017	0.880187887	0.69086857	0.393828038	0.881430756	0.711510384	0.983139288	0.690555293	0.694029182	0.71338159	0.461878869	0.667927686	0.636494651	0.636800299	0.947330348	0.852320265	0.650597446	0.940570387	0.667473974	0.797520508	0.776848522	0.72381357	0.757257962	0.58437721	0.979540953	0.972979078	0.891109007	0.549792903	0.847326171	0.68174895	0.936160099	0.902363852	0.672521218	1	0.907498769	0.749794147	0.913802372	0.617735909
