anno	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16
Class1	30.2152	24.8908	22.5635	29.1295	25.0699	25.4633	24.9421	19.4423	30.8261	23.4148	18.3492	18.9707	21.5628	18.0593	21.5664	23.9257	18.2356	21.4296	11.7766	8.0649	24.4213	7.68585	32.0878	28.183	27.8107	21.7361	26.5629	7.38436	9.71461	4.29423	3.18441	4.29853	7.81292	11.5472	8.40614	5.4329	12.6098	5.12045	6.90635	11.3772
Class1	0.657083	1.08454	1.2773	1.70578	0.631765	1.22411	0.690891	0.10769	1.62185	0.537937	0.157614	0.0156668	0.448568	3.68839	0.502094	0.141899	0.626943	0.958827	0.438077	0.330511	0.25921	0.150631	0.114035	0.410812	0.741447	0.990257	0.499145	0.593263	0.193631	0.371062	0.518374	0.989906	0.0206813	0.177204	0.0742464	0.269204	0.0511006	0.338931	0.35663	0.116396
Class1	12.1413	17.9246	15.9608	20.7475	8.63329	11.7687	6.0352	8.24943	7.02527	9.51473	9.62299	11.6857	7.28698	7.61705	9.94495	10.335	6.2068	9.19828	8.21332	9.32226	10.1254	11.3045	8.49308	13.0653	6.68696	12.1849	10.4479	7.70302	12.4487	6.60111	7.40697	8.29335	7.49686	6.878	6.84229	9.67158	4.3989	6.30954	6.47951	12.0122
Class1	5.08507	5.53696	7.32414	3.42227	6.03421	6.52413	5.68636	1.07942	7.38516	6.62463	1.24074	0.830002	1.94036	4.49314	2.36086	2.25308	3.16482	5.54378	4.19115	4.38991	1.97696	2.21154	2.21346	2.90334	3.17735	5.13138	1.74531	5.08975	2.45305	3.97547	6.89234	8.3015	2.98669	2.43235	4.92307	2.69569	2.50452	6.01894	3.5201	7.18504
Class1	5.99933	6.33358	6.34541	12.9792	4.40238	11.5299	5.87542	3.98166	6.31277	4.71123	3.25679	2.80231	6.46704	3.37031	5.0097	2.3601	3.46232	3.19016	4.24738	2.98519	4.55903	4.31917	6.59581	4.55357	4.157	5.34077	4.59676	4.52764	5.79119	4.76681	3.44476	3.00822	4.67958	5.01961	3.99457	1.73311	2.12001	5.83704	3.76982	6.09693
Class1	45.9201	83.8064	112.255	32.3405	56.2652	134.548	77.2846	71.0627	28.3336	42.7899	88.9881	61.9911	31.3529	23.6802	68.6079	34.8061	14.2994	42.4603	74.2646	43.5286	44.0138	28.2677	48.5238	78.9308	9.9819	50.8951	50.4738	130.879	62.5398	16.5801	70.714	22.9311	40.54	38.9742	30.2178	32.3136	16.5561	27.482	11.8416	25.7799
Class1	23.8342	56.3122	32.1564	32.2885	36.5182	15.4549	23.3043	60.9936	15.4762	5.60091	37.9458	50.4203	24.5177	7.11347	5.77116	9.27849	2.91755	3.36097	18.2026	15.7845	9.63739	2.59081	8.80163	30.9753	2.86073	5.41584	36.7992	23.2516	4.36747	1.17707	3.58314	3.81428	7.96215	2.93966	7.77715	13.8396	17.1927	14.6491	6.46079	37.3313
Class1	7.43501	12.6624	10.8673	8.52499	18.5638	8.14351	6.34815	8.806	15.8858	4.48064	8.00383	6.60308	11.0406	10.9769	6.42527	13.1964	9.44928	6.39585	2.6749	1.58962	3.91744	3.33223	2.30291	5.94472	15.0929	10.0683	4.11647	12.872	5.89898	7.0574	8.38939	5.09581	0.820945	2.2311	6.20422	3.4969	4.48084	4.63294	6.7411	5.66737
Class1	3.43939	2.8063	2.5801	1.64894	4.71533	2.34927	1.66021	2.29619	0.998261	1.25771	2.0983	1.43744	1.15706	0.780159	1.43553	1.0153	1.45874	1.44473	0.89849	0.548608	1.05568	0.848192	1.01029	1.48866	0.737048	1.0895	1.28801	7.85208	0.864556	1.43523	0.912192	2.65564	1.70823	1.45554	0.873283	0.701132	1.48071	1.07574	0.1555	3.27975
Class1	31.07698	44.714735	36.224355	85.894485	29.93534	43.481635	36.983248	14.5695455	25.4985595	32.960205	13.343784	13.174473	28.7348565	24.9445315	18.677107	12.380597	14.912474	44.0127025	25.420963	22.5690435	21.8216335	29.614522	23.2025695	48.28734	25.799965	33.93301	26.2245225	31.72276	34.4720985	16.832397	28.83131	28.7797365	21.5191955	21.8783235	31.837733	32.7759795	10.0232885	38.1627765	17.203295	44.7247205
Class1	2.23938	13.4229	9.14805	14.644	3.09395	7.84283	15.2133	3.48798	3.16851	3.98874	2.24304	1.59828	3.7831	2.83096	3.62437	4.74996	6.17698	5.23942	5.81243	5.22775	3.34904	3.71482	4.61947	5.60949	4.07642	3.53689	5.51737	4.78636	3.61014	9.02136	3.5003	3.11968	4.00296	6.13865	2.41939	5.21067	0.697007	7.03743	10.36	14.3654
Class1	2.6108	1.47262	2.90805	3.92926	1.5931	2.12618	1.45982	0.204889	0.695157	0.180207	0.34418	0.332681	0.625356	0.655224	0.156685	0.683905	0.126837	0.228443	1.57849	2.23373	0.443301	0.467704	0.428117	1.21749	0.757445	1.14051	1.76	3.3094	1.87165	1.21315	0.454419	2.71784	0.576885	0.352911	0.663541	1.80821	0.100897	1.48495	0.319663	2.05941
Class1	12.8837	13.5282	11.3367	17.4769	19.3332	24.1702	20.4936	0.768165	6.31709	4.78929	1.08852	1.22184	3.3217	5.24257	3.53499	3.84773	5.24135	6.28146	7.96624	8.69572	4.30169	6.19597	3.18711	5.56059	2.50493	3.24397	4.57715	20.0644	3.66133	8.00781	1.85111	8.57619	5.68428	4.43037	3.71138	8.33248	2.71797	10.5692	7.16059	10.5879
Class1	7.91436	5.88705	7.81186	11.8938	8.2442	6.61292	6.78794	1.27404	1.36613	2.1202	1.43533	1.01726	9.30703	6.54492	2.96709	3.04475	1.47042	3.77858	5.21397	2.85021	3.06455	3.65331	3.7509	6.39686	0.899974	5.68279	5.32112	10.168	2.72918	6.84227	1.8852	1.23231	2.53048	0.583611	5.22526	4.11343	1.36433	2.43527	3.26912	17.9075
Class1	1246.15	1261.7	882.037	1552.13	345.309	1992.74	1836.28	341.1	1295.77	897.445	509.485	536.773	576.105	2012.17	712.514	920.365	249.695	1232.31	381.464	534.245	438.128	255.604	205.483	445.533	100.233	619.837	426.063	385.585	2009.92	1536.55	512.338	118.527	365.673	474.083	863.366	616.912	190.922	478.7	350.078	834.463
Class1	6.52395	7.78809	3.5592	8.1514	4.60474	6.22924	8.9023	1.64802	5.10497	2.92287	1.80526	1.68675	5.22853	3.53675	4.83504	1.80599	5.25175	4.99256	1.26471	2.67009	4.59356	5.00723	5.37947	4.95595	2.49592	6.57106	1.1812	2.33883	5.92495	3.3783	3.94167	4.71557	1.52683	4.72472	4.55717	5.13597	2.81889	2.96382	2.76161	2.37316
Class1	36.9494	54.3425	21.1135	38.0617	25.2368	27.2469	17.8228	20.7542	16.3475	16.8051	11.5668	15.2894	22.287	16.2839	18.9176	11.0595	21.308	29.0129	10.6122	13.8478	16.3341	10.6093	13.8766	17.3398	13.1032	14.6259	4.23717	24.32	15.2092	28.533	13.8078	23.9894	13.1532	12.7614	15.9479	18.2269	9.39809	21.7267	24.7626	30.5625
Class1	18.0178	14.4743	14.9827	28.3415	10.8366	18.0881	3.29108	4.95341	7.68065	5.79918	5.68741	7.33114	7.59095	6.33295	5.76012	9.72948	3.23788	12.0086	15.4196	9.18194	9.34405	12.8795	12.6023	13.2327	6.4628	11.6109	19.5765	8.75566	9.33309	5.21948	6.30978	5.18447	7.05999	11.1464	13.0898	6.85318	1.68288	6.36163	5.44539	13.0334
Class1	3.59277	2.64054	4.35573	4.41762	5.01826	5.61207	3.26444	2.25947	2.0235	1.67737	2.97803	1.74691	3.07927	1.47257	1.79102	1.63024	3.7558	2.12808	3.56771	2.30429	1.84664	1.80886	1.28719	3.11932	1.1956	4.1248	5.10823	3.06488	1.77805	1.08847	2.96008	1.55338	2.77057	1.33852	2.6211	1.2489	1.17113	2.89565	2.4029	3.07097
Class1	1.67859	3.55141	2.63738	1.86174	1.27764	1.00088	0.226637	0.217021	1.20542	0.495533	0.562216	0.324302	0.65848	0.283678	0.987662	0.0917572	0.367458	0.341434	0.637209	0.486406	1.18138	4.38281	4.36177	1.71909	0.490688	0.95712	0.931831	1.56362	0.224009	0.374407	0.248138	0.0780245	0.973433	0.0639357	0.2867	0.879934	0.272397	0.121502	0.159057	0.194478
Class1	49.7869	52.2573	82.3886	34.5705	82.0115	40.9188	63.8361	35.7191	54.3007	50.8896	22.7862	22.107	36.2999	25.4262	33.8026	19.4962	14.8992	38.3137	38.361	34.2306	33.6114	29.6826	28.2957	48.1862	43.6694	49.2979	50.3532	67.436	41.4316	11.9573	66.1076	64.0415	58.3532	28.5446	42.2589	34.4971	14.481	28.5608	17.7399	88.5022
Class1	10.2308	9.84422	9.40112	19.8979	7.72244	11.3859	9.98967	8.6279	7.07341	6.54817	7.71057	8.55802	8.07538	7.49453	7.70535	9.15209	6.80593	7.85718	7.53127	5.57219	7.6206	6.64741	7.77661	11.0113	8.21305	9.83464	8.69117	4.3889	8.4246	6.43897	7.63191	4.83681	6.24029	6.70482	7.62326	5.87816	5.02771	7.631	6.80665	7.89149
Class1	5.95483	3.26206	2.45631	14.4445	5.8947	1.50196	7.43115	4.22963	3.29673	7.57583	5.04577	3.29022	1.26494	3.44296	2.64219	0.314053	0.79989	6.58761	1.39164	2.04103	2.74661	1.39495	2.74733	4.30884	2.21758	2.64402	0.848624	4.99084	2.53907	0.879305	2.26794	4.96586	1.33504	1.55388	1.01057	2.12088	0.57248	1.75238	0.807905	1.39597
Class1	7.50259	18.0849	8.99638	12.1521	7.92106	13.3743	14.9097	2.63767	8.38246	7.7108	3.045	2.46759	4.94585	6.69836	8.59969	5.8	6.7943	10.2134	10.7372	8.44747	6.94567	7.07426	10.1365	9.19676	5.37647	10.4944	8.31115	7.72547	9.55073	6.63735	8.81682	13.6215	4.81439	7.04341	9.13949	4.92141	4.22396	11.968	9.2001	12.7132
Class1	9.55959	4.58006	4.73335	11.9255	4.46247	4.56581	8.37088	5.19234	3.53048	3.45979	5.5878	5.86189	3.97812	3.56063	4.50055	4.07134	3.10728	4.60802	4.48306	4.65495	4.59916	3.97416	5.28343	5.82194	8.78962	5.62909	10.3489	2.93376	3.26971	2.50885	3.66561	3.34837	4.62364	3.7446	3.86818	3.22422	1.42662	3.16218	5.47421	4.64847
Class1	41.7918	83.329	55.9358	43.077	109.176	143.949	25.5418	4.85224	20.5006	22.3873	7.00018	8.02552	12.735	23.9513	18.6773	7.92914	5.02773	19.1541	40.1475	16.9524	21.852	24.7164	15.1313	32.3582	10.629	42.0451	9.01941	224.298	19.5379	3.73518	83.2586	20.4978	20.3302	15.7139	40.1908	51.6931	5.43609	36.9023	23.6801	125.432
