genes	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-11	CAS-DAC-12	CAS-DAC-13	CAS-DAC-14	CAS-DAC-15	CAS-DAC-16	CAS-DAC-18	CAS-DAC-19	CAS-DAC-2	CAS-DAC-20	CAS-DAC-21	CAS-DAC-22	CAS-DAC-23	CAS-DAC-24	CAS-DAC-25	CAS-DAC-26	CAS-DAC-27	CAS-DAC-28	CAS-DAC-29	CAS-DAC-3	CAS-DAC-30	CAS-DAC-31	CAS-DAC-32	CAS-DAC-33	CAS-DAC-34	CAS-DAC-35	CAS-DAC-36	CAS-DAC-37	CAS-DAC-38	CAS-DAC-39	CAS-DAC-4	CAS-DAC-41	CAS-DAC-42	CAS-NEN-1	CAS-NEN-2	CAS-ACC-1	CAS-DAC-5	CAS-DAC-6	CAS-DAC-7	CAS-NEN-3	CAS-DAC-8	CAS-DAC-9	NPC-4	NPC-5	NPC-7	CAS-DAC-65
TPH1	0.27029	0.0935871	2.69522	0.150273	0.17728	0.0784991	0.0280495	0.00598246	0.0810012	0.0144224	0.0876621	0.0503089	0.085044	0.0823182	0.00598309	0.13146	0.0376698	0.139964	0.104337	0.280278	0.258084	0.21994	0.0175511	0.146376	0.194568	0.155164	0.0816747	0.0716571	0.0889321	0.0992759	0.191222	0.0320587	0.793104	0.0892821	0.029554	2.81762	0.454028	2.82391	8.37294	0.14502	0.362284	465.564	0.0564034	4.7557	0.296868	0.126036	0.0806953	12.7719
CRIP1	224.096	33.1096	48.0536	76.3527	81.4421	147.214	16.5555	271.491	57.0717	8.28273	113.777	195.739	75.6048	40.3638	273.052	56.6815	80.9428	63.0945	60.3427	72.0614	32.134	122.036	11.7398	68.7198	14.8705	115.359	14.6049	17.3829	129.4	45.7219	6.1933	10.5111	52.0679	45.2534	36.1997	28.9877	0.555816	3.50684	97.5764	8.93358	35.5803	2.63848	122.096	37.4009	0.702273	0.865174	3.24364	4.70099
TGM2	2.89114	29.546	19.3094	39.1519	144.44	319.202	160.189	6.1821	13.0168	229.1	35.3443	8.50822	35.9646	45.1564	20.8308	59.5474	33.2724	8.35346	21.9767	13.9536	1.29499	99.4747	52.2439	17.5664	20.862	32.1981	0.884114	5.48188	13.9251	10.7537	4.48077	9.16376	8.27008	11.0137	23.8914	36.3775	0.43885	0.479908	9.1148	104.607	4.35835	0.351135	88.8682	18.3639	84.9231	219.414	36.329	0.0199558
APP	123.444	81.6333	140.417	131.194	231.595	63.2049	160.366	115.046	70.1767	192.149	127.984	76.3151	141.246	89.9398	88.9822	108.529	99.2971	155.106	154.419	123.886	164.381	116.136	115.382	191.126	165.601	160.369	276.816	87.6527	93.2155	69.1145	124.912	73.7302	157.279	136.263	64.3809	190.521	31.9046	30.2163	127.835	154.085	140.633	122.874	151.937	186.983	214.29	307.313	382.379	142.554
F3	47.8291	170.776	159.653	226.21	169.097	81.516	124.158	79.7694	60.2005	112.765	152.938	71.2482	123.222	135.588	73.6454	69.1573	242.406	37.8647	67.3552	197.706	88.3075	178.01	58.2906	94.3696	67.5929	178.16	82.7302	245.863	112.053	43.9087	18.7232	93.0408	76.4283	61.5598	133.611	9.48073	1.66045	3.2547	104.291	131.629	70.0353	1.92019	191.768	90.3504	193.354	260.936	103.621	34.131
TPI1	85.978	116.816	72.4953	100.401	150.576	74.3219	96.8089	47.9822	73.3106	70.9442	152.067	67.7347	71.972	123.872	119.101	200.967	49.1588	78.6164	96.0944	66.3651	82.527	271.571	99.1213	95.5929	190.703	56.327	129.474	124.124	44.4465	76.1161	120.938	237.135	102.075	165.462	61.7517	129.876	137.049	417.058	84.5919	75.3305	67.6192	64.7119	105.619	115.988	70.8391	106.997	82.9075	216.922
HNRNPA2B1	253.339	253.701	273.154	276.694	190.451	197.977	277.222	219.528	282.657	340.448	305.544	316.889	191.555	190.25	191.224	187.619	263.548	180.659	198.787	258.044	226.721	217.906	263.943	178.928	266.491	282.437	226.084	227.066	256.619	208.9	309.756	184.71	276.314	131.217	137.661	167.493	154.233	105.732	249.436	330.814	224.483	92.808	267.623	198.582	79.7412	81.659	108.419	208.875
RPL37	167.566	142.641	157.418	197.42	117.569	136.677	126.729	169.988	157.957	139.443	164.405	77.0956	83.3282	168.02	81.0705	61.6113	148.674	171.739	108.647	168.06	190.174	187.011	102.097	213.018	115.762	145.074	220.251	80.3132	162.394	170.327	197.522	40.5514	172.359	36.4648	71.7774	64.1288	49.619	53.9957	345.607	127.813	118.978	17.6868	231.694	115.029	17.4225	21.1916	59.4448	43.8839
REG4	163.258	1.90642	77.722	48.8182	4.27798	3.37453	0.0243025	12.3244	11.1136	0	29.3998	25.9035	4.06195	0	0.757559	1.95189	4.60737	4.94213	2.73964	7.95498	106.78	5.33368	101.772	3.12433	21.4332	7.38641	37.6899	3.4477	1.09105	18.9665	8.15466	1.27056	28.0823	1.27907	0.629624	127.268	0	8.40057	141.01	0.0733579	14.7714	2.34008	91.4813	363.64	9.60341	0.136402	0.0664674	2.30205
HIST1H2BK	148.644	77.306	132.233	140.743	71.5779	77.7704	106.932	179.126	105.943	204.768	349.231	81.4748	75.768	51.3722	60.631	73.1676	78.6705	91.7347	116.68	202.548	72.6712	178.246	86.3868	122.002	118.965	92.2944	168.903	39.3041	164.253	62.5771	104.691	86.2205	223.532	31.0337	27.9941	50.4518	132.483	95.4792	150.79	154.864	118.623	5.90318	138.523	110.007	14.8867	12.5618	20.2342	565.208
