TF	CAS-ACC-1	CAS-DAC-18	CAS-DAC-7	CAS-DAC-37	CAS-DAC-30	CAS-DAC-20	CAS-DAC-1	CAS-IPMN-1	CAS-DAC-6	CAS-DAC-36	CAS-DAC-2	CAS-DAC-15	CAS-DAC-19	CAS-DAC-28	CAS-DAC-33	CAS-DAC-12	CAS-DAC-14	CAS-DAC-25	CAS-DAC-8	CAS-DAC-31	CAS-DAC-27	CAS-DAC-11	CAS-DAC-9	CAS-DAC-5	CAS-DAC-4	CAS-DAC-38	CAS-DAC-29	CAS-DAC-34	CAS-DAC-23	CAS-DAC-32	CAS-DAC-42	CAS-DAC-41	CAS-DAC-39	CAS-DAC-35	CAS-DAC-3	CAS-DAC-26	CAS-DAC-24	CAS-DAC-22	CAS-DAC-21	CAS-DAC-13	CAS-DAC-16	CAS-DAC-65	CAS-NEN-3	CAS-NEN-1	CAS-NEN-2
SRF (17g)	0.595216069	0.574431297	0.610409757	0.529242093	0.449003583	0.54628601	0.605816504	0.586251752	0.570924751	0.604709599	0.594230357	0.555710863	0.557149032	0.559997091	0.603913758	0.589010936	0.462589431	0.55234975	0.572419477	0.752004751	0.777617084	0.572318482	0.586914279	0.570302621	0.628988798	0.588388807	0.571502442	0.806271386	0.558300375	0.555654306	0.572657825	0.572265964	0.605998295	0.585544787	0.58428437	0.567676751	0.563527877	0.592347811	0.486496968	0.571530721	0.490863992	0.520972622	0.401931832	0.549970307	0.510739809
HNF4A (1193g)	0.63755582	0.592572168	0.605841322	0.599842086	0.612424488	0.584438111	0.602120219	0.574846988	0.486684145	0.54953503	0.547091628	0.492488897	0.488910627	0.55588622	0.526136234	0.563143001	0.529241012	0.528217544	0.555915255	0.567382886	0.565135528	0.581271485	0.627820904	0.612599836	0.59293096	0.56661821	0.580691093	0.558885298	0.591552179	0.598812259	0.542519044	0.569004923	0.561579634	0.554007792	0.56037386	0.570169424	0.57835873	0.494385322	0.568772106	0.51675831	0.583416623	0.515056969	0.517123882	0.579169838	0.458147551
IRF5 (14g)	0.780483139	0.619835684	0.6334813	0.630832618	0.669282649	0.460836297	0.574141018	0.634889025	0.67493317	0.673324341	0.69012385	0.643997548	0.659330472	0.641407725	0.612934396	0.669841815	0.645773145	0.660708768	0.676645003	0.659144083	0.661581852	0.650820356	0.56806867	0.617044758	0.639141631	0.660061312	0.578270999	0.587016554	0.499561006	0.606033109	0.656510116	0.606641324	0.637091355	0.644429185	0.637091355	0.602594727	0.64294298	0.666388719	0.718116493	0.680431637	0.657324341	0.730011036	0.43852851	0.607092581	0.461218884
MXI1 (372g)	0.409877694	0.455384025	0.487233729	0.555562471	0.399279192	0.557602405	0.531132596	0.426509094	0.484766745	0.522785779	0.568228193	0.52510979	0.502025544	0.42530756	0.526593906	0.503233805	0.490555561	0.464806037	0.534124936	0.502990658	0.460161939	0.468415497	0.423199036	0.44886016	0.521209338	0.454089045	0.594359539	0.473549441	0.622071998	0.460129793	0.454092596	0.616598096	0.489962177	0.462811891	0.484846548	0.581212194	0.416716287	0.496746758	0.447421646	0.448263037	0.509645535	0.46580311	0.439667652	0.418084715	0.406252535
NR2F6 (85g)	0.632152706	0.541536854	0.528227763	0.512370879	0.552614807	0.571745107	0.54955033	0.567311983	0.524037593	0.521767581	0.538149247	0.533330634	0.526433942	0.535276706	0.533221304	0.528989832	0.473438101	0.548957519	0.553380116	0.59119287	0.564334161	0.537664957	0.591561352	0.535569872	0.539704161	0.500373746	0.514747792	0.50323252	0.649494046	0.620571836	0.568974607	0.592507258	0.596664224	0.562150802	0.601873995	0.569440271	0.59026883	0.567154062	0.613639511	0.621226195	0.589110743	0.508108633	0.452427326	0.611778473	0.477121304
FOXJ1 (28g)	0.296834285	0.352902928	0.415498314	0.592880943	0.24103309	0.519202363	0.462998768	0.248138897	0.363277014	0.578728218	0.622545724	0.404248271	0.423953636	0.284163571	0.467699986	0.430818983	0.374612935	0.328420283	0.473613313	0.330945102	0.37018162	0.358894772	0.28778027	0.290251108	0.462218504	0.308842509	0.628959598	0.270602178	0.635564858	0.338602983	0.367001673	0.724868361	0.484436418	0.360703122	0.441386908	0.629374267	0.308484274	0.320769763	0.303854213	0.330128032	0.494678006	0.393645995	0.255782056	0.290582352	0.213039254
NR2C1 (11g)	0.723259095	0.761335547	0.784849317	0.759544081	0.666344161	0.781228933	0.745955157	0.772845872	0.810429203	0.747159871	0.780248933	0.823912012	0.799661681	0.778295174	0.766934658	0.783569699	0.784131482	0.778151607	0.791078874	0.671924546	0.695800355	0.77559237	0.732765724	0.783519762	0.788912886	0.76984345	0.756916182	0.763613892	0.714414122	0.667180595	0.704963671	0.707760106	0.638429752	0.683303788	0.721973234	0.715344186	0.751385733	0.763370453	0.644409628	0.652012434	0.701880103	0.727397568	0.646457017	0.70624329	0.693016404
NFIL3 (20g)	0.623678698	0.601133281	0.632466774	0.61281294	0.626065456	0.573780006	0.616824067	0.595648889	0.503255606	0.569755143	0.574741578	0.537274632	0.499817988	0.596442186	0.543590096	0.565493321	0.547855352	0.569020227	0.58394519	0.72510045	0.693935231	0.584226794	0.649445379	0.599890106	0.598657234	0.564583262	0.594749133	0.698104331	0.608279817	0.669294962	0.591661802	0.627167829	0.644647824	0.617411312	0.646038669	0.620883272	0.592001786	0.621611319	0.621724647	0.599649713	0.607335417	0.559167554	0.465218586	0.637047976	0.555225111
NR1H4 (27g)	0.327018005	0.519208065	0.485000458	0.525701505	0.534769931	0.416737911	0.44604236	0.435541408	0.39222212	0.544059723	0.54848198	0.384601488	0.376624632	0.505992183	0.524396202	0.512989425	0.492331023	0.496168056	0.509808861	0.522734675	0.503025353	0.517320082	0.509383937	0.521795772	0.499709933	0.416478377	0.524576858	0.452584145	0.426389016	0.465158825	0.467749076	0.536082868	0.44643675	0.467354686	0.525307115	0.536324591	0.516358279	0.514663674	0.538797798	0.462179272	0.561784373	0.532238201	0.416806612	0.383682941	0.390629294
EGR2 (26g)	0.548221915	0.63498992	0.650198563	0.688748616	0.48222972	0.532706774	0.648393924	0.504400625	0.560547892	0.501607794	0.671592654	0.537018884	0.526035157	0.528373526	0.585556545	0.682951576	0.515635362	0.673648304	0.617390064	0.577830681	0.444519895	0.651482684	0.504065062	0.644406807	0.654457829	0.539365179	0.61265784	0.468714743	0.578512375	0.498857238	0.473254084	0.510985048	0.44154475	0.421434781	0.58416145	0.53805992	0.525403666	0.593041966	0.521818167	0.573148659	0.492856747	0.511674668	0.404984292	0.527052414	0.512908587
TEAD4 (65g)	0.477337933	0.516280473	0.495105857	0.490898027	0.520844953	0.501902308	0.493026283	0.516877358	0.558530223	0.518494452	0.545523624	0.540322043	0.544433567	0.531689429	0.514063319	0.563061895	0.545656971	0.539020325	0.540545346	0.522798588	0.542848223	0.544496008	0.541365534	0.531469301	0.525149089	0.540632127	0.490230235	0.491592276	0.504210476	0.559862632	0.530132659	0.491536186	0.573798424	0.528500749	0.596052513	0.508769665	0.590994862	0.589377768	0.547280414	0.584127505	0.55106598	0.560950572	0.450764892	0.495642419	0.501909716
PPARD (266g)	0.437258682	0.454298823	0.419584965	0.400250618	0.413641123	0.426669139	0.459071344	0.482894105	0.425182983	0.467487511	0.466166455	0.437199048	0.420191198	0.450153368	0.485177895	0.468589824	0.423482771	0.491471726	0.489969165	0.554115261	0.539081313	0.458726041	0.480259545	0.445346473	0.442924927	0.427240737	0.402887262	0.528601662	0.468061453	0.474414919	0.500448555	0.447167515	0.472294406	0.507653819	0.505360395	0.440213025	0.498640794	0.497045006	0.491742031	0.517782438	0.454827975	0.465243565	0.390182935	0.470060355	0.388257469
